"X","GeneSymbol","padj","log2FoldChange","diffexpressed","gene.label"
200,"Ddc",0.903058297019113,0.0347654181606766,NA,NA
201,"Deptor",0.0681320617204502,0.948925815405731,NA,NA
202,"Dera",0.364092799370637,0.531804564831984,NA,NA
203,"Dglucy",0.0524775810797581,-0.821554358783447,NA,NA
204,"Dguok",0.0572243529308995,-0.595508772423361,NA,NA
205,"Dmgdh",0.45332093891692,-0.160464672193246,NA,NA
206,"Dtl",0.528078955282002,0.255500733148386,NA,NA
207,"Duox1",0.400600544473924,-0.395928676331139,NA,NA
208,"Duox2",0.679698526844473,0.103093492964103,NA,NA
209,"Echs1",0.493877354574711,-0.0948540737767184,NA,NA
210,"Eea1",0.0526748947409303,0.393613062776833,NA,NA
211,"Efna4",0.107947066664112,-0.53051471669878,NA,NA
212,"Egfr",0.184980576249069,-0.401291491910023,NA,NA
213,"Ehhadh",0.021635502643656,-0.628281538401106,"DOWN","Ehhadh"
214,"Eme1",1,0,NA,NA
215,"Eno1",0.00139567523341967,0.701578657997267,"UP","Eno1"
216,"Eno3",0.0796883443720454,-0.495586229611214,NA,NA
217,"Eomes",0.321341855043195,-0.169925001442312,NA,NA
218,"Epc1",0.00531357296059823,-0.158570503662843,NA,NA
219,"Ercc6",0.935754007238394,-0.00904513960300712,NA,NA
220,"Ern1",0.00814419319652636,1.89635677689214,"UP","Ern1"
221,"Exo1",0.832435641713555,-0.0861566437497144,NA,NA
222,"Ezh2",0.387179711585786,-0.097671077622868,NA,NA
223,"Fabp5",0.0750898882631976,-0.392070812456817,NA,NA
224,"Fah",0.303978044651827,-0.769802176174752,NA,NA
225,"Fahd1",0.0865663520471142,-0.519144256210192,NA,NA
226,"Fanca",0.494114912844826,0.246914740470517,NA,NA
227,"Fancd2",0.0807955291369684,-0.430350554773348,NA,NA
228,"Fanci",0.252400548696845,0.123382415505282,NA,NA
229,"Fasl",0.317219077288343,-0.127379306476228,NA,NA
230,"Fasn",0.119865832284439,0.357233047755982,NA,NA
231,"Fbp1",0.64088292421555,-0.180572245641821,NA,NA
232,"Fcer1a",0.185420862796785,-0.384663850235325,NA,NA
233,"Fcgr4",0.231645971830948,-0.580193256573284,NA,NA
234,"Fcrlb",0.775404014836831,0.0978473233981446,NA,NA
235,"Fcrls",0.601067385597469,0.131577258150781,NA,NA
236,"Fdx1",0.112187038559089,-0.302701383120072,NA,NA
237,"Fdxr",0.158863963457885,0.60768257722124,NA,NA
238,"Fgf1",0.0366531596131216,-0.682181791732881,"DOWN","Fgf1"
239,"Fh1",0.0456236381095964,-0.180581582144331,NA,NA
240,"Flt1",0.544021503789424,0.115477217419936,NA,NA
241,"Flt3",0.484957044568056,0.203533394085132,NA,NA
242,"Fnip1",0.748706117056544,0.0394098433370421,NA,NA
243,"Fnip2",0.203347077604126,1.14955577302631,NA,NA
244,"Folh1",0.572601255195423,0.273018494406416,NA,NA
245,"Folr1",0.884416851525767,-0.0174874267288411,NA,NA
246,"Foxm1",0.0571699501514735,0.813781191217037,NA,NA
247,"Foxp3",0.0254814814814814,-0.30610312772568,NA,NA
248,"Fpr1",0.193350455513131,-0.308950240889152,NA,NA
249,"Ftcd",0.0304579903942591,-0.53605290024021,NA,NA
250,"G6pc",0.667522406569425,0.156504485679991,NA,NA
251,"Gabarap",0.215327936287018,-0.348377195209764,NA,NA
252,"Gad1",0.280497168238373,0.29373120305671,NA,NA
253,"Gadl1",0.692996268766042,-0.115477217419936,NA,NA
254,"Gapdh",0.401030415099262,0.122395773892764,NA,NA
255,"Gapdhs",0.266347283735142,-0.326500824677186,NA,NA
256,"Gapvd1",0.0292226017946263,0.178826629759074,NA,NA
257,"Gart",0.000650836263180618,0.644837870349561,"UP","Gart"
258,"Gatm",0.39225089073465,0.339168544976194,NA,NA
259,"Gba",0.616480336867562,0.0365258760251142,NA,NA
260,"Gcdh",0.127425018984977,-0.424687669312563,NA,NA
261,"Gck",0.581967319984824,0.266074860153845,NA,NA
262,"Gclc",0.0913495925725074,0.546913892871977,NA,NA
263,"Gda",0.984716339246181,0.0081855257368636,NA,NA
264,"Glrx",0.0686478074970106,-0.697172004307181,NA,NA
265,"Gls",0.100799888532183,0.418452163691608,NA,NA
266,"Gls2",0.671086188590652,-0.137503523749935,NA,NA
267,"Glud1",0.873954438744266,0.0164394123598103,NA,NA
268,"Glul",0.0667066848845818,0.516403185111296,NA,NA
269,"Glyat",0.360231364174304,0.367731784500487,NA,NA
270,"Glyctk",0.838179298712081,0.0336831262562886,NA,NA
271,"Gmpr",0.0358394388725951,-0.643613262160612,"DOWN","Gmpr"
272,"Gmpr2",0.201350444438937,0.290009999977792,NA,NA
273,"Gmps",0.0103122111577019,0.294317494743701,NA,NA
274,"Gng12",0.201417344504335,0.166731430595605,NA,NA
275,"Gns",0.250891681919237,0.18736141130446,NA,NA
276,"Got1",0.00225978124039762,0.795837511733647,"UP","Got1"
277,"Got2",0.935429907681182,0.0136413514831426,NA,NA
278,"Gpi1",0.888590489490291,-0.0397461787927566,NA,NA
279,"Gps1",0.0279018575062988,0.187202992874148,NA,NA
280,"Gpt",0.123916434693546,-0.307476938589822,NA,NA
281,"Gpx1",0.584524836481235,-0.122369771782516,NA,NA
282,"Gpx4",0.138188959935124,0.302295673478175,NA,NA
283,"Grap2",0.185497994556877,0.456857674973471,NA,NA
284,"Grin1",0.0700701009687057,-0.719892080807265,NA,NA
285,"Gsk3b",0.0235509073985095,0.545715547798315,NA,NA
286,"Gtse1",0.677714981096329,0.123735368422245,NA,NA
287,"Gusb",0.798850953993021,-0.0448542357842604,NA,NA
288,"Gys2",0.737709195143585,0.115477217419936,NA,NA
289,"Gzma",0.481507842249913,-0.169925001442312,NA,NA
290,"Gzmb",0.138723777765547,-0.432959407276106,NA,NA
291,"Gzmd",0.686814065568979,0.0755510330071768,NA,NA
292,"H2.Aa",0.233997603913724,-0.487807512596423,NA,NA
293,"H2.D1",0.225377576345242,0.446685816298425,NA,NA
294,"H2.Dma",0.124192141638024,0.334735871187983,NA,NA
295,"H2.Eb1",0.709696525806256,-0.0795074469840574,NA,NA
296,"H2.K1",0.0534322540466419,0.764697469776165,NA,NA
297,"H2.Ke6",0.964094926540986,-0.0085960236883851,NA,NA
298,"H2.M3",0.973324721546438,-0.0174170530774094,NA,NA
299,"H2.Ob",0.105121473173484,-0.927487500215632,NA,NA
300,"H2.Q1",0.547332356805845,-0.186413124230881,NA,NA
301,"H2.Q10",0.600584617216992,-0.172836596862216,NA,NA
302,"H2.Q2",0.00464663021906323,-0.592122292294022,NA,NA
303,"H2.T23",0.40446053362619,-0.224873410840203,NA,NA
304,"H6pd",0.423725860209079,-0.15200309344505,NA,NA
305,"Haao",0.388437775684073,-0.887525270741587,NA,NA
306,"Hacd2",0.14259268329356,0.386124807363605,NA,NA
307,"Hadh",0.257571633321939,-0.432914637439002,NA,NA
308,"Hdc",0.475165774929409,-0.295455883526171,NA,NA
309,"Herc1",0.507240350077292,0.136526860027051,NA,NA
310,"Hexa",0.0894883443478138,0.371968777386958,NA,NA
311,"Hexb",0.215225764215486,-0.230848622121653,NA,NA
312,"Hif1a",0.00440779302918766,0.808597701561363,"UP","Hif1a"
313,"Hif3a",0.431662923912899,-0.259867126755111,NA,NA
314,"Hjurp",0.800241883076502,0.0588936890535686,NA,NA
315,"Hk1",0.036264031038432,0.582953775327281,NA,NA
316,"Hk2",0.126363266876761,0.999381746276851,NA,NA
317,"Hk3",0.953829440979533,-0.0155968550510185,NA,NA
318,"Hmox1",0.111228044982689,0.719680464372578,NA,NA
319,"Hnf4a",0.673758850757755,0.15200309344505,NA,NA
320,"Hpd",0.079675569614751,0.192645077942396,NA,NA
321,"Hprt",0.418624267931454,0.157744731371374,NA,NA
